,code_grade_NEG,libelle_grade_neg,code_nomenclature_net_neh,libelle_NET_NEH,date_effet,date_fin,indice_brut,rang_echelon,code_etat,libelle_NEG_rempl,libelle_NET_NEH_rempl,code_NETH_rempl,libelle_statut
55892,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,05NOV1959,31/12/1966,375,2,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55893,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,05NOV1959,31/12/1966,445,3,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55894,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,05NOV1959,31/12/1966,505,4,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55895,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,05NOV1959,31/12/1966,565,5,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55896,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,05NOV1959,31/12/1966,625,6,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55897,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,05NOV1959,31/12/1966,685,7,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55898,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,05NOV1959,31/12/1966,705,8,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55899,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,01JAN1967,30/11/1974,340,1,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55900,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,01JAN1967,30/11/1974,410,2,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55901,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,01JAN1967,30/11/1974,475,3,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55902,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,01JAN1967,30/11/1974,540,4,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55903,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,01JAN1967,30/11/1974,605,5,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55904,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,01JAN1967,30/11/1974,665,6,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55905,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,01JAN1967,30/11/1974,725,7,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55906,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,01JAN1967,30/11/1974,785,8,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55907,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,01DEC1974,30/06/1975,353,1,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55908,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,01DEC1974,30/06/1975,419,2,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55909,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,01DEC1974,30/06/1975,480,3,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55910,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,01DEC1974,30/06/1975,540,4,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55911,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,01DEC1974,30/06/1975,605,5,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55912,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,01DEC1974,30/06/1975,665,6,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55913,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,01DEC1974,30/06/1975,725,7,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55914,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,01DEC1974,30/06/1975,785,8,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
